City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Linjiang,CN,2020-10-13 02:48:40,41.81,126.91,55.74,38,0,11.9
215,Ikwiriri,TZ,2020-10-13 02:48:41,-7.96,38.97,74.01,94,23,1.41
216,Rocha,UY,2020-10-13 02:48:41,-34.48,-54.33,53.13,93,65,10.54
217,Taoudenni,ML,2020-10-13 02:48:41,22.68,-3.98,83.93,20,0,0.56
218,Northam,GB,2020-10-13 02:48:42,51.03,-4.22,52.0,84,78,5.99
219,Namibe,AO,2020-10-13 02:48:42,-15.2,12.15,61.61,87,0,2.62
220,Scarborough,GB,2020-10-13 02:46:25,54.28,-0.4,45.0,91,57,1.01
221,Oistins,BB,2020-10-13 02:48:43,13.07,-59.53,82.4,74,20,14.99
222,Wisconsin Rapids,US,2020-10-13 02:48:43,44.38,-89.82,48.99,61,1,4.7
223,Mabaruma,GY,2020-10-13 02:48:43,8.2,-59.78,74.3,95,60,2.53
224,Bulaevo,KZ,2020-10-13 02:48:43,54.91,70.44,44.73,95,89,5.59
225,Menongue,AO,2020-10-13 02:48:44,-14.66,17.69,62.11,34,84,5.75
226,Acarau,BR,2020-10-13 02:48:44,-2.89,-40.12,76.37,84,0,12.3
227,Port Lincoln,AU,2020-10-13 02:47:26,-34.73,135.87,64.09,78,47,7.61
228,Bang Saphan,TH,2020-10-13 02:48:45,11.21,99.51,80.6,78,90,5.82
229,Abbeville,FR,2020-10-13 02:48:45,50.1,1.83,50.0,98,100,1.01
230,Boshnyakovo,RU,2020-10-13 02:48:46,49.63,142.17,45.19,59,0,11.52
231,Mollendo,PE,2020-10-13 02:48:46,-17.02,-72.01,61.18,82,97,4.29
232,Lorengau,PG,2020-10-13 02:48:46,-2.02,147.27,83.61,75,100,4.36
233,Iqaluit,CA,2020-10-13 02:48:47,63.75,-68.51,19.4,92,5,9.17
234,Bunbury,AU,2020-10-13 02:48:47,-33.33,115.63,78.01,42,98,2.35
235,Santa Maria,BR,2020-10-13 02:44:39,-29.68,-53.81,54.1,94,0,3.49
236,Parintins,BR,2020-10-13 02:48:47,-2.63,-56.74,76.64,75,81,2.33
237,Charagua,BO,2020-10-13 02:48:48,-19.8,-63.22,79.43,32,98,2.66
238,Hay River,CA,2020-10-13 02:48:48,60.82,-115.8,35.6,74,75,21.92
239,Tiznit,MA,2020-10-13 02:48:49,29.58,-9.5,71.06,23,14,1.36
240,Rosario,AR,2020-10-13 02:47:01,-32.95,-60.64,63.0,58,4,4.29
241,Vila Franca Do Campo,PT,2020-10-13 02:48:49,37.72,-25.43,66.2,77,75,8.05
242,Kotelnich,RU,2020-10-13 02:48:49,58.31,48.35,44.06,89,94,5.48
243,Road Town,VG,2020-10-13 02:48:49,18.42,-64.62,81.0,92,100,1.01
244,Mikun,RU,2020-10-13 02:48:50,62.35,50.08,39.79,95,84,5.75
